RESTAURANT,ADDRESS,CITY,
BACKWOODS BURGER,3909 THORNTON AVE,FREMONT,
PIZZA GUYS #140,3691 THORNTON AVE,FREMONT,
CARNITAS EL RINCON,26712 GADING RD,HAYWARD,
CANYONS BARBEQUE,3341 CASTRO VALLEY BLVD,CASTRO VALLEY,
LITTLE CAESARS #1147-0001,4376 THORNTON AVE,FREMONT,
JACKS,1029 NEWPARK MALL,NEWARK,
HAPPY LAMB HOT POT,34396 ALVARADO NILES RD,UNION CITY,
PIZZA GUYS #116,15253 HESPERIAN BLVD,SAN LEANDRO,
HUNGRY COW,40470 ALBRAE ST,FREMONT,
LITTLE CAESARS #1147-0003,39490 FREMONT BLVD,FREMONT,
BUNDOO KHAN,43405 CHRISTY ST,FREMONT,
BRONCO BILLY'S SMITH STREET,3940 SMITH ST,UNION CITY,
PIZZA HUT #040823,22859 MISSION BLVD,HAYWARD,
LITTLE CAESARS #3498-0001,39237 CEDAR BLVD,NEWARK,
NEW YORK PIZZA,665 W TENNYSON RD,HAYWARD,
ISLA,5720 MOWRY SCHOOL RD,NEWARK,
FIRE WINGS,24703 AMADOR ST STE 3,HAYWARD,
BUFFET FORTUNA,1330 WASHINGTON AVE,SAN LEANDRO,
BACKYARD BAYOU,32280 DYER ST,UNION CITY,
CANNERY KITCHEN & TAP,3295 CASTRO VALLEY BLVD #114,CASTRO VALLEY,
MOUNTAIN MIKES PIZZA,5333 THORNTON AVE,NEWARK,
PIZZA GUYS #181,24456 MISSION BLVD,HAYWARD,
MR PICKLES,20674 RUSTIC DR,CASTRO VALLEY,
MOUNTAIN MIKES PIZZA,2150 MARINA BLVD,SAN LEANDRO,
MOUNTAIN MIKES PIZZA-MAVI CORP,20261 PATIO DR,CASTRO VALLEY,
ROUND TABLE PIZZA #340,1359 WASHINGTON AVE,SAN LEANDRO,
PIZZA HUT #031626,15099 HESPERIAN BLVD STE C,SAN LEANDRO,
MOUNTAIN MIKES,302 DAVIS ST,SAN LEANDRO,
DISTR85*C BAKERYCAFE DISTRIBUTION C,1205 ATLANTIC ST,UNION CITY,
CECILS FAMOUS BURGERS,547 W TENNYSON RD,HAYWARD,
MOUNTAIN MIKES PIZZA,410 W HARDER RD,HAYWARD,
NICK THE GREEK,20628 RUSTIC DR,CASTRO VALLEY,
TERIYAKI CITY,488 LEWELLING BLVD,SAN LORENZO,
TACOS EL GORDO,792 B ST,HAYWARD,
CARNITAS EL RINCON ALMA,1108 W TENNYSON RD,HAYWARD,
MR PICKLES SANDWICH,33354 ALVARADO NILES RD,UNION CITY,
MOUNTAIN MIKES PIZZA,699 LEWELLING BLVD,SAN LEANDRO,
THE MEXICAN,19950 HESPERIAN BLVD,HAYWARD,
ROUND TABLE PIZZA 1098,28545 HESPERIAN BLVD,HAYWARD,
NICK THE GREEK,1509 E 14TH ST,SAN LEANDRO,
MOUNTAIN MIKE'S PIZZA 267,39415 FREMONT BLVD,FREMONT,
EL RODEO,4949 STEVENSON BLVD Ste I,FREMONT,
ROUND TABLE PIZZA,40831 FREMONT BLVD,FREMONT,
ATLANTIS FOOD SERVICES - FSD,30470 Whipple Rd,UNION CITY,
POSH BAGEL CASTRO VALLEY,20665 RUSTIC DR,CASTRO VALLEY,
MOUNTAIN MIKES PIZZA,3952 WASHINGTON BLVD,FREMONT,
NICK THE GREEK,3141 MOWRY AVE,FREMONT,
