RESTAURANT,ADDRESS,,
EXTREME PIZZA #003,1062 FOLSOM ST,SAN FRANCISCO,CA
BEEP'S BURGERS,1051 OCEAN AVE,SAN FRANCISCO,CA
CLUB 1015,1015 FOLSOM ST,SAN FRANCISCO,CA
DADDY'S,440 CASTRO ST,SAN FRANCISCO,CA
FOLSOM FRONT OF HOUSE FSD,2 Folsom St,SAN FRANCISCO,CA
NICK THE GREEK,121 SPEAR STREET RINCON CENTER 2,SAN FRANCISCO,CA
ROUND TABLE PIZZA 753,737 PORTOLA DR,SAN FRANCISCO,CA
TEMPLE NIGHT CLUB,540 HOWARD ST,SAN FRANCISCO,CA
GROVE CAFE YERBA BUENA - FSD,690 Mission St,SAN FRANCISCO,CA
MIXT 10 PNTO,51 YERBA BUENA LN,SAN FRANCISCO,CA
FRATELLOS PIZZA,460 CASTRO ST,SAN FRANCISCO,CA
SOUTHERN PACIFIC BREW,620 TREAT AVE,SAN FRANCISCO,CA
ATWATER TAVERN,295 TERRY A FRANCOIS BLVD,SAN FRANCISCO,CA
CLUB X,715 HARRISON ST,SAN FRANCISCO,CA
DNA PIZZA,371 11TH STREET,SAN FRANCISCO,CA
IKES LOVE AND SANDWICHES 2ND LEVEL,3251 20TH AVE,SAN FRANCISCO,CA
DELIRIUM COCKTAIL,3139 16TH ST,SAN FRANCISCO,CA
"GOLD CLUB, THE-FSD",650 HOWARD STREET,SAN FRANCISCO,CA
MISSION ROCK,817 TERRY A FRANCOIS BLVD,SAN FRANCISCO,CA
OLD CLAM HOUSE,299 BAY SHORE BLVD,SAN FRANCISCO,CA
FRANKIE'S,PIER 40,SAN FRANCISCO,CA
YANK SING,101 SPEAR ST,SAN FRANCISCO,CA
POSH BAGEL CASTRO,495 CASTRO ST,SAN FRANCISCO,CA
MARTHA BROS - CHURCH ST.,1551 CHURCH ST,SAN FRANCISCO,CA
SOMA RESTAURANT & BAR,85 5TH ST,SAN FRANCISCO,CA
OASIS SAN FRANCISCO,298 11TH ST,SAN FRANCISCO,CA
HOLEY BAGEL,3872 24TH ST,SAN FRANCISCO,CA
THE CAFE,4820 ANZA ST,SAN FRANCISCO,CA
CHIEFTAIN IRISH PUB AND RESTAURANT,198 5TH ST,SAN FRANCISCO,CA
BALLAST POINT RESTAURANT,705 16TH ST,SAN FRANCISCO,CA
THE CAFE,2369 MARKET ST,SAN FRANCISCO,CA
IKE'S LOVE & SANDWICHES,3RD STREET & MISSION,SAN FRANCISCO,CA
KILOWATT,3160 16TH ST,SAN FRANCISCO,CA
B & J 1/4 LB BURGER,6202 3rd St,SAN FRANCISCO,CA
CLOONEYS PUB,1401 VALENCIA ST,SAN FRANCISCO,CA
AK SUBS,397 8TH ST,SAN FRANCISCO,CA
UMAI HOTDOGS,845 MARKET ST,SAN FRANCISCO,CA
FOXTAIL CATERING & EVENTS,2565 3RD ST,SAN FRANCISCO,CA
EXTREME PIZZA,3911 ALEMANY BLVD,SAN FRANCISCO,CA
111 MINNA,111 MINNA ST,SAN FRANCISCO,CA
CADILLAC BAR & GRILL,44 9TH ST,SAN FRANCISCO,CA
