Customer,City,Address
BUDS BURGERS,VALLEJO,"3849 SONOMA BLVD, VALLEJO, CA"
VILLA CORONA,NAPA,"3614 BEL AIRE PLZ, NAPA, CA"
DAIKON KOREAN BBQ VALLEJO,VALLEJO,"124 PLAZA DR, VALLEJO, CA"
5 STAR BURGER,VALLEJO,"1015 REDWOOD ST, VALLEJO, CA"
FIRE WINGS,VALLEJO,"137 PLAZA DR, VALLEJO, CA"
EXTREME PIZZA,SAN RAFAEL,"703 4TH ST, SAN RAFAEL, CA"
GENOVA DELI,NAPA,"1550 TRANCAS ST, NAPA, CA"
CARNITAS EL RINCON VALLEJO,VALLEJO,"818 TENNESSEE ST, VALLEJO, CA"
SONOMA SOURDOUGH,PETALUMA,"1320 INDUSTRIAL AVE, PETALUMA, CA"
CHICKEN EXPRESS,VALLEJO,"1075 REDWOOD ST, VALLEJO, CA"
MCNEARS RESTAURANT,PETALUMA,"23 PETALUMA BLVD N, PETALUMA, CA"
HOP CREEK,NAPA,"3253 Browns Valley Rd, NAPA, CA"
MI PUEBLO RESTAURANT,PETALUMA,"800 PETALUMA BLVD N, PETALUMA, CA"
SQUEEZE INN HAMBURGERS,NAPA,"3383 Solano Ave, NAPA, CA"
FILIPPIS PIZZA GROTTO,NAPA,"645 1ST ST, NAPA, CA"
RAMEN 101 VALLEJO,VALLEJO,"966 ADMIRAL CALLAGHAN LN, VALLEJO, CA"
MARYS PIZZA SHACK,PETALUMA,"423 N MCDOWELL BLVD, PETALUMA, CA"
NICK THE GREEK,PETALUMA,"441 N MCDOWELL BLVD, PETALUMA, CA"
MARYS PIZZA #2,SONOMA,"8 W SPAIN ST, SONOMA, CA"
FAZERRATIS PIZZA RESTAURANT,NAPA,"1517 W IMOLA AVE, NAPA, CA"
NAPOLI PIZZERIA,VALLEJO,"124 TENNESSEE ST, VALLEJO, CA"
EXTREME PIZZA - NOVATO,NOVATO,"104 VINTAGE WAY, NOVATO, CA"
MI PUEBLO EL CENTRO,PETALUMA,"108 KENTUCKY ST, PETALUMA, CA"
M & G BURGERS,Larkspur,"989 MAGNOLIA AVE, Larkspur, CA"
ACME BURGER PETALUMA,PETALUMA,"330 WESTERN AVE, PETALUMA, CA"
MI PUEBLO MARIN,SAN RAFAEL,"5800 NORTHGATE DR, SAN RAFAEL, CA"
ANGELOS MEAT,SONOMA,"23400 ARNOLD DR, SONOMA, CA"
M AND G BURGERS,FAIRFAX,"2017 SIR FRANCIS DRAKE BLVD, FAIRFAX, CA"
PARADISE SUSHI,PETALUMA,"20 E WASHINGTON ST, PETALUMA, CA"
OLD CHICAGO PIZZA.,PETALUMA,"41 PETALUMA BLVD N, PETALUMA, CA"
CAFE BELLINI,PETALUMA,"100 S McDowell Blvd, PETALUMA, CA"
LUCCHESIS DELI,PETALUMA,"301 S MCDOWELL BLVD, PETALUMA, CA"
TAQUERIA LA HACIENDA,SONOMA,"17960 SONOMA HWY, SONOMA, CA"
TRANCAS STEAKHOUSE,NAPA,"999 Trancas St, NAPA, CA"
STEFANOS PIZZA,MILL VALLEY,"11 E BLITHEDALE AVE, MILL VALLEY, CA"
STEFANOS PIZZA,SAN ANSELMO,"330 SAN ANSELMO AVE, SAN ANSELMO, CA"
YO SUSHI,VALLEJO,"114 ROBLES WAY, VALLEJO, CA"
FRIDAS MEXICAN GRILL,NAPA,"1533 TRANCAS ST, NAPA, CA"
JOE'S TACO LOUNGE,MILL VALLEY,"382 MILLER AVE, MILL VALLEY, CA"
STEFANOS PIZZA,PETALUMA,"5 PETALUMA BLVD S STE D, PETALUMA, CA"
NICK THE GREEK GREENBRAE,GREENBRAE,"300 BON AIR CTR, GREENBRAE, CA"
MR PICKLES SANWICH SHOP,SAN RAFAEL,"1014 COURT ST, SAN RAFAEL, CA"
BIG D BURGER,NAPA,"1005 Silverado Trl, NAPA, CA"
NICK THE GREEK,VALLEJO,"165 Plaza Dr, VALLEJO, CA"
EL REY MEXICAN BAR AND GRILL,NOVATO,"940 7TH ST, NOVATO, CA"
ANDIES CAFE,NAPA,"1042 FREEWAY DR, NAPA, CA"
NICK THE GREEK NOVATO,NOVATO,"128 VINTAGE WAY, NOVATO, CA"
DOWNTOWN JOES,NAPA,"902 MAIN ST, NAPA, CA"
PHO 1 NOODLE,VALLEJO,"3885 SONOMA BLVD, VALLEJO, CA"
STEFANOS PIZZA,CORTE MADERA,"225 Corte Madera Ave, CORTE MADERA, CA"
FOSTER FREEZE,NAPA,"1195 W IMOLA AVE, NAPA, CA"
MI PUEBLO NOVATO,NOVATO,"905 GRANT AVE, NOVATO, CA"
SCOMA'S,SAUSALITO,"588 BRIDGEWAY, SAUSALITO, CA"
WEST COAST SOURDOUGH STRAWBERRY VIL,MILL VALLEY,"800 REDWOOD HWY FRONTAGE RD, MILL VALLEY, CA"
VALENCIA MARKET Y TAQUERIA,NAPA,"1725 W IMOLA AVE, NAPA, CA"
PHO VALLEJO NOODLE HOUSE,VALLEJO,"908 ADMIRAL CALLAGHAN LN, VALLEJO, CA"
Old Chicago Pizza,PETALUMA,"1390 N MCDOWELL BLVD, PETALUMA, CA"
THE VILLAGE PIZZERIA,NOVATO,"1200 GRANT AVE, NOVATO, CA"
SHED COUNTRY STORE & BBQ,NAPA,"3100 GOLDEN GATE DR, NAPA, CA"
MI PUEBLO TAQUERIA,SAN ANSELMO,"208 SIR FRANCIS DRAKE BLVD, SAN ANSELMO, CA"
PLAZA TEQUILA TAQUERIA BAR AND GRIL,PETALUMA,"600 E WASHINGTON ST, PETALUMA, CA"
TOMMYS SALSA NOVATO,NOVATO,"1553 S NOVATO BLVD UNIT F, NOVATO, CA"
SONOMA TACO SHOP,SAN RAFAEL,"210 NORTHGATE ONE, SAN RAFAEL, CA"
SEARED,PETALUMA,"170 PETALUMA BLVD STE N, PETALUMA, CA"
TAQUERIA & PUPUSERIA EL TOROGOZ,Larkspur,"574 MAGNOLIA AVE, Larkspur, CA"
BONCHON PETALUMA,PETALUMA,"447 N MCDOWELL BLVD Ste 14, PETALUMA, CA"
HIDEAWAY - PETALUMA,PETALUMA,"128 KENTUCKY ST, PETALUMA, CA"
ROCCOS PIZZA,MILL VALLEY,"711 E BLITHEDALE AVE, MILL VALLEY, CA"
LA AZTECA TAQUERIA,PETALUMA,"1420 S MCDOWELL BLVD, PETALUMA, CA"
THE NEW YORKER,PETALUMA,"3 PETALUMA BLVD N, PETALUMA, CA"
ALIBERTOS JR FRESH MEXICAN,VALLEJO,"991 REDWOOD ST, VALLEJO, CA"
MARYS PIZZA,BOYES HOT SPRINGS,"18636 SONOMA HWY, BOYES HOT SPRINGS, CA"
LOS MOLCAJETES SONOMA,SONOMA,"19101 SONOMA HWY, SONOMA, CA"
EXTREME PIZZA,PETALUMA,"3100 Lakeville Hwy, PETALUMA, CA"
TARLA,NAPA,"1480 1ST ST, NAPA, CA"
LEFT BANK FSD,Larkspur,"507 MAGNOLIA AVE, Larkspur, CA"
MARY'S SLICE SHACK,SONOMA,"19327 SONOMA HWY, SONOMA, CA"
MURPHYS IRISH PUB AND RESTAURANT,SONOMA,"464 FIRST ST E, SONOMA, CA"
FUSION PIZZA,VALLEJO,"414 GEORGIA ST, VALLEJO, CA"
TORCHES RESTAURANT PETALUMA,PETALUMA,"256 PETALUMA BLVD, PETALUMA, CA"
SHOW DE CARNES BRAZILIAN STEAKHOUSE,SAUSALITO,"196 DONAHUE ST, SAUSALITO, CA"
SABOR A MEXICO,SAN RAFAEL,"1559 4TH ST, SAN RAFAEL, CA"
CARMEN'S LA HACIENDA RESTAURANT,NOVATO,"1401 GRANT AVE, NOVATO, CA"
CAFE MIMOSA,PETALUMA,"417 N MCDOWELL BLVD, PETALUMA, CA"
JACOBS PIZZERIA,SONOMA,"1266 BROADWAY, SONOMA, CA"
STEFANOS PIZZA,SAN RAFAEL,"424 LAS GALLINAS AVE, SAN RAFAEL, CA"
PAPA MURPHY'S CA195,AMERICAN CANYON,"101 W AMERICAN CANYON RD STE 504, AMERICAN CANYON, CA"
VONS CHICKEN VALLEJO,VALLEJO,"134 ROBLES WAY, VALLEJO, CA"
LA MAISON DE LA REINE,NOVATO,"807 GRANT AVE, NOVATO, CA"
MARYS SLICE SHACK,SONOMA,"14 W SPAIN ST, SONOMA, CA"
TASTE OF ROME,SAUSALITO,"1000 BRIDGEWAY, SAUSALITO, CA"
